,Location,Price,Size,Rooms,Bathrooms,link
298,La Ceja - La Ceja,$648.310.000,121m²,3ha.,4ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/antigua-casas/la-ceja/la-ceja/6672874
299,Centro - Bogotá,$274.000.000,"28,77m²",1ha.,1ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/go-life-&-work./centro/bogota/7134285
300,Chapinero Central - Bogotá,$227.073.882,"34,49m²",1ha.,1ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/portal-40/chapinero-central/bogota/6783854
301,Calera Gardens - La Calera,$413.720.000,79m²,3ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/verdemonte/calera-gardens/la-calera/6496172
302,Calipso - Cali,$94.000.000,"44,35m²",2ha.,1ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/arcadia-conjunto-cerrado/calipso/cali/6116660
303,Calera Gardens - La Calera,$386.040.000,"78,3m²",3ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/verdemonte/calera-gardens/la-calera/6496172
304,La Balsa Variante Chía - Chía,$199.798.768,50m²,2ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/country-paradise./la-balsa--variante-chia/chia/6677348
305,Centro - Bogotá,$211.300.000,"24,07m²",1ha.,1ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/go-life-&-work./centro/bogota/7134285
306,Centro - Bogotá,$235.700.000,"29,97m²",1ha.,1ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/go-life-&-work./centro/bogota/7134285
307,La Balsa Variante Chía - Chía,$189.900.000,50m²,2ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/country-paradise./la-balsa--variante-chia/chia/6677348
308,La Balsa Variante Chía - Chía,$197.912.557,49m²,2ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/country-paradise./la-balsa--variante-chia/chia/6677348
309,Centro - Bogotá,$460.000.000,"55,22m²",2ha.,1ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/go-life-&-work./centro/bogota/7134285
310,Centro - Bogotá,$218.700.000,"26,54m²",1ha.,1ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/go-life-&-work./centro/bogota/7134285
311,Centro - Bogotá,$262.000.000,"30,48m²",1ha.,1ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/go-life-&-work./centro/bogota/7134285
312,Centro - Bogotá,$260.800.000,"27,33m²",1ha.,1ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/go-life-&-work./centro/bogota/7134285
313,Centro - Bogotá,$229.300.000,"27,33m²",1ha.,1ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/go-life-&-work./centro/bogota/7134285
314,Centro - Bogotá,$733.364.012,"97,17m²",2ha.,3ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/frontier/centro/bogota/6483883
315,Centro - Bogotá,$166.000.000,36m²,2ha.,1ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/novum-ricaurte/centro/bogota/6839924
316,La Balsa Variante Chía - Chía,$182.361.192,"42,71m²",2ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/country-paradise./la-balsa--variante-chia/chia/6677348
317,Centro - Bogotá,$285.000.000,47m²,2ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/urbana-30/centro/bogota/5893098
